Comment link,Commenter's Name,Commenter's Channel,Likes,Responses,Posted time,Edited time,comment,video title,labels,keyword 1,keyword 2,keyword 3
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=Ugwx4wxMp4F5ecCIBL14AaABAg,Rebecca Coulson,http://www.youtube.com/channel/UCjoAnhG0aENBKve34Kw4BrQ,6372,100,2021-06-03T11:03:18Z,2021-06-03T11:03:18Z,Who voted for stiring Mac n cheese as satisfying....I just wanna talk.,Best Sound Test,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=UgzFmQ-tDZev2Jq8AyN4AaABAg,Simply Simmer,http://www.youtube.com/channel/UCXrebmFl2Z4QzUGK-WrV8-Q,4025,63,2021-06-07T11:09:06Z,2021-06-07T11:09:06Z,Crying a million tears that my Wheel of Mythicality video was chosen for this video 😭❤,Alternate Universe Snacks,,,mythical,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=UgxX2BMs4y_1r6OgEBl4AaABAg,Milly Lee,http://www.youtube.com/channel/UCDvValaxs2jsChv9ib21XwQ,3538,27,2021-06-03T10:21:46Z,2021-06-03T10:21:46Z,"No no, red card. I say the ""scissors on paper"" should've been scissors SLIDING through paper",Best Sound Test,,,,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=Ugzmg_EJoaAX0oNh1X54AaABAg,Ulli,http://www.youtube.com/channel/UCyF3lJX7uRqm6NmySfdXaIQ,3348,14,2021-05-24T10:54:28Z,2021-05-24T10:54:28Z,It'd be funny if Rhett eventually did just wear something ridiculous that didn't have a camera in it,International Desserts,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgzRg0fFqoCyTaHQ90F4AaABAg,El Viejardou,http://www.youtube.com/channel/UC7YNKi_cpozSd5RNd95BnMw,3236,18,2021-06-01T02:31:15Z,2021-06-01T02:31:15Z,"Please, more of this game.",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=Ugx59UAucv_EkL2Tmu54AaABAg,TheIrishninjas,http://www.youtube.com/channel/UC9ftvgF2IVUccLC4lDvrBFA,3154,19,2021-05-31T10:32:03Z,2021-05-31T10:32:03Z,"New fans seeing the title: ""Oh cool, axe throwing!""<br>Seasoned Mythical Beasts seeing it: <b>[Nervous sweating]</b>",Extreme vs Original Snack,dialog format,,mythical,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=Ugzjfva355RjNs31xeR4AaABAg,Caph,http://www.youtube.com/channel/UCX1oHingfSN9Yx2Yq_VmDFw,2876,23,2021-05-24T11:09:38Z,2021-05-24T11:09:53Z,rhett pointing the camera at people but them not even completely being in frame is so funny,International Desserts,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=Ugwt-ftZ36eTiUyuJfx4AaABAg,Ray Hickey III,http://www.youtube.com/channel/UCF0kJvaXfY8JyFwGUHnZtKQ,2610,43,2021-06-07T10:44:04Z,2021-06-07T10:45:17Z,"What if in an Alternate Dimension, Lhett and Rink, on their show ""Good Ethical Evening,"" came to our dimension for this type of episode. What would they take?",Alternate Universe Snacks,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=Ugyr-RoSMSTypqQcTQ14AaABAg,Brandon Holbrook,http://www.youtube.com/channel/UCEay_-0wiNR9BKn6YmBNOQA,2578,3,2021-05-31T22:20:52Z,2021-05-31T22:20:52Z,"So proud of Link. Not only did he not hurt himself, or anyone else, he actually gave Rhett some competition. Way to go!",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgzSOQ1CqfCApSbtVb94AaABAg,TianaGratia,http://www.youtube.com/channel/UCWu8lKiGyRj4FluGGz1UY6A,2556,10,2021-06-01T11:50:26Z,2021-06-01T11:50:26Z,Rhett's birthday: HERES YOUR FAVORITE FOOD<br>Link's birthday: we punish you if you can't read minds,Which food would you rather?,dialog format,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxqyXBrlmxxn9nvKLZ4AaABAg,Exoid,http://www.youtube.com/channel/UCxNs7xFD-rPkj7a1PpBwKXw,2269,76,2021-06-01T10:05:52Z,2021-06-01T10:05:52Z,They look so old but so young at the same time,Which food would you rather?,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgwWRkiTIibHV-TC6PJ4AaABAg,Sheyda S,http://www.youtube.com/channel/UC3cxBh9OTL6DXMI8kwhr26w,2193,14,2021-05-31T10:11:41Z,2021-05-31T10:11:41Z,"Chase's ""why did you dooo that?"" will always get me",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=UgzHCOsfEmjnyVFmKzN4AaABAg,Andrew Jordan,http://www.youtube.com/channel/UCNjfG6XN1lwkCOKIlQQ6DHA,2167,52,2021-06-03T10:12:01Z,2021-06-03T10:12:01Z,"The ""sports"" car wasn't sporty enough. That sounded like a Kia Rio.",Best Sound Test,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=Ugxfea3HHXZ070yQJHd4AaABAg,Ryan Thomas Ang,http://www.youtube.com/channel/UC5fcUPfiwiNtywczSq03QHA,2128,19,2021-06-07T10:52:21Z,2021-06-07T10:52:21Z,"After watching this show for 9 years, I still make the mistake of eating food while watching GMM.",Alternate Universe Snacks,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgwLigQI9_jZ631O6uh4AaABAg,Michael Bernier,http://www.youtube.com/channel/UCTSsRnIFiUDxSYV3DfQsZ0Q,2115,9,2021-05-31T11:00:31Z,2021-05-31T11:00:31Z,The fact that Rhett wouldn't let the Berm joke go was great,Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=_eByxXbHJp4&lc=UgxG99tuvjbzhGvgA5d4AaABAg,Project K,http://www.youtube.com/channel/UCXNP6Hlga8EbJyVfUInKVfA,2029,23,2021-06-04T10:50:30Z,2021-06-04T10:50:30Z,"The fact that Link still believed he liked Splenda the most in the end, even though he didn't like it in the previous rounds, is amazing.",Blind Sweetener Taste Test,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgxkJaDEcboZlQLCEM94AaABAg,AJ assassin,http://www.youtube.com/channel/UCYt2cweFmKVUiOUVSr_4K0A,1716,10,2021-05-31T10:01:36Z,2021-05-31T10:01:36Z,"When I saw the title, I went:<br>""Oh god. This is gonna be a field day for Link""",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=UgzF8O9XsiitM-73wEZ4AaABAg,Adrienne Murphy,http://www.youtube.com/channel/UCegAAN-sKWtS-rVWolyu3Hw,1682,9,2021-05-24T12:50:23Z,2021-05-24T12:50:23Z,"Link seemed very peeved by the hat today, but in his defense Rhett looks like a 00's Bachelorette weekend 🤣😂🤣",International Desserts,,,,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=UgxtpjPS_mgOagO5rrN4AaABAg,timmy neutron,http://www.youtube.com/channel/UCWst2WCzd4B0c7mNRQxoaQg,1630,15,2021-06-03T10:35:29Z,2021-06-03T10:35:29Z,Hitting a baseball with a wooden bat would've gone deep in this game!!,Best Sound Test,,,,
https://www.youtube.com/watch?v=_eByxXbHJp4&lc=Ugxncpec7VmjeLzNIHZ4AaABAg,LostStoriesMusic,http://www.youtube.com/channel/UCWLRBlMYbuoZCI3DZp0RXRQ,1602,8,2021-06-04T12:45:08Z,2021-06-04T12:45:08Z,"This episode is just all over the place, love it lol",Blind Sweetener Taste Test,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=UgyWWAWtkeG467aR12p4AaABAg,Project K,http://www.youtube.com/channel/UCXNP6Hlga8EbJyVfUInKVfA,1529,41,2021-06-07T10:08:30Z,2021-06-07T10:08:30Z,"The whole bit with the ""Bottom Ramen"" was... interesting",Alternate Universe Snacks,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgzsWqaqCPmz5I_EEx54AaABAg,FrogLover,http://www.youtube.com/channel/UC-ZgiArb6EfVI0bq-zk7_nQ,1458,5,2021-05-31T14:59:14Z,2021-05-31T14:59:14Z,"People barely trust Link with a dart, now they're giving him an axe.",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=_eByxXbHJp4&lc=UgzCMV_uoLIb6Jg401F4AaABAg,Matthew Guidroz,http://www.youtube.com/channel/UCrkjSszctE7C9N1AwCPlokQ,1348,10,2021-06-04T10:32:34Z,2021-06-04T10:32:34Z,"""If I don't feel like finishing, I've already eaten the good part""<br><br>-Link(4 years old)",Blind Sweetener Taste Test,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=UgzeRim62G32-NHo9Fl4AaABAg,assmane999,http://www.youtube.com/channel/UCxnKhalZPDhNH1MXha5iF8w,1335,6,2021-05-31T12:14:27Z,2021-05-31T12:18:10Z,"""Butter so extreme, you'll think it's cheese!"" That should be their slogan.",Extreme vs Original Snack,,,,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=UgwFdiHtcx_PMHQaWZ14AaABAg,TheEarlyGamer,http://www.youtube.com/channel/UCRlNFxBirhzyYCJ8DAdJogg,1329,17,2021-06-03T12:44:30Z,2021-06-03T12:44:30Z,"I would have also put in rain pattering on a window, maybe with thunder in the distance.<br>But for me personally I would have chosen the crackling fire as nr 1.",Best Sound Test,,,,
https://www.youtube.com/watch?v=ugG1rQphVes&lc=Ugx1H5T5gvDBFzwCZGV4AaABAg,Matt Foster,http://www.youtube.com/channel/UCiJjKsWZllgF-URRxbVlVMQ,1255,3,2021-06-01T04:39:35Z,2021-06-01T04:39:35Z,Link: <b>can't be trusted with a knife</b><br>Mythical Crew: Let's give him an axe.,Extreme vs Original Snack,dialog format,,,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=UgxdXgiHv1p9YXM8N154AaABAg,cockleships,http://www.youtube.com/channel/UCnIsoTuaKiA6WBsBGAeDiLw,1251,5,2021-06-03T18:27:58Z,2021-06-03T18:27:58Z,Stirring mac and cheese is the physical embodiment of the word moist.,Best Sound Test,,,,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=UgwyTPS2TP1f3tI2sYd4AaABAg,PrismGuy,http://www.youtube.com/channel/UCkC3ibmG3w-IyNftaRMfs9w,1056,3,2021-05-24T17:30:16Z,2021-05-24T17:30:16Z,Seeing Link get crankier and crankier while Rhett is just having a good time is pretty on-brand,International Desserts,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=UgxaAB6DcYOu5CXsNnJ4AaABAg,Grapefruit Simmons,http://www.youtube.com/channel/UCFWeOxBBxgbYeszz1gEtUPA,1007,26,2021-06-07T10:21:23Z,2021-06-07T10:21:23Z,Fun fact: chickens dont have anuses. They have cloaca.,Alternate Universe Snacks,,,,
https://www.youtube.com/watch?v=Lw5JhiaxyPQ&lc=Ugx312-InM3x0hknpgB4AaABAg,Cam Steady,http://www.youtube.com/channel/UCfguohQ13Uez5UWqJbZA5Qg,1004,15,2021-06-03T19:52:00Z,2021-06-03T19:52:00Z,A basketball swish would have swept this competition.,Best Sound Test,,,,
https://www.youtube.com/watch?v=m7YUKGOI6fA&lc=UgxkftUuVFxy3r7yRfh4AaABAg,BoopyStudios,http://www.youtube.com/channel/UCvrD1OPeXnE7dKolmBm7HgQ,933,6,2021-06-07T12:03:17Z,2021-06-07T12:04:14Z,"Missed the opportunity to call it ""Ramenema.""",Alternate Universe Snacks,,,,
https://www.youtube.com/watch?v=_eByxXbHJp4&lc=UgyqVedPclCv19THGxh4AaABAg,KT,http://www.youtube.com/channel/UC9lRR34Hy-trjBW1rkqxDwg,885,4,2021-06-04T10:23:14Z,2021-06-04T10:23:14Z,"Stevie reigning them in on the last round, and reminding them of things they already know seems to be how their work dynamic usually goes.",Blind Sweetener Taste Test,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugw21Xwb1q8AKihpjS54AaABAg,CurlyBoost,http://www.youtube.com/channel/UC5imUcVSkwEWr-H40iD5oaQ,878,21,2021-06-01T10:55:56Z,2021-06-01T10:55:56Z,Me: starts eating dinner and watch GMM as usual<br>GMM: WOULD YOU RATHER VOMIT ON SOMEBODY OR HAVE SOMEBODY VOMIT ON YOU???,Which food would you rather?,parasocial dialog,,,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=UgyeHLZ-JHuprLHWnVl4AaABAg,Frankie Chatot,http://www.youtube.com/channel/UC4BwKts2cK7y3FUu7GyHn7g,869,24,2021-05-24T10:30:21Z,2021-05-24T10:30:21Z,"As a sicilian myself I can say that i never saw a cassata with a whole candied tangerine on top, but i admire the mythical kitchen for the choice ^^",International Desserts,,,mythical,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=UgxjHve9sxu1HgKQSfl4AaABAg,AleahhNicolee : P,http://www.youtube.com/channel/UCNsVuZJ9RdhgRaYpC-Yv8SQ,854,2,2021-05-24T10:38:46Z,2021-05-24T10:38:46Z,The dad grunts after every respective dart throw really get me,International Desserts,,,,
https://www.youtube.com/watch?v=vB3r4FvcQcA&lc=UgwrZKwSQKt_R_kSpFZ4AaABAg,Matthew Guidroz,http://www.youtube.com/channel/UCrkjSszctE7C9N1AwCPlokQ,812,7,2021-05-24T10:29:43Z,2021-05-24T10:29:43Z,"Rhett giving a new spin to ""cowboys vs aliens"" with his hat/shirt combo.",International Desserts,,,,
